#period	period time	calc time
1	6243	999
2	3493	1003
3	4997	751
4	4992	1025
5	5001	1000
6	5245	752
7	4746	761
8	4999	1005
9	4995	1002
10	4998	1009
11	4995	1008
12	4997	751
13	5249	758
14	4745	757
15	4997	1001
16	4994	1011
17	5000	1005
18	4995	1004
19	4996	1011
20	4999	1007
21	4998	1002
22	4995	1010
23	4997	1008
24	4998	1003
25	4995	1010
26	4999	758
27	4997	1001
28	4994	1011
29	5249	1253
30	4747	995
31	5009	998
32	4988	998
33	4997	997
34	4993	1005
35	4999	998
36	4994	1000
37	5001	1008
38	4996	1000
39	4994	999
40	5000	997
41	4995	999
42	4995	998
43	4993	1003
44	5002	998
45	5241	1251
46	4754	995
47	4995	998
48	4990	1002
49	5006	995
50	4990	1001
51	4996	1000
52	5251	748
53	4748	996
54	4991	1001
55	4999	1001
56	5001	996
57	4990	1001
58	5005	995
59	5488	1004
60	4497	1001
61	5252	1253
62	4742	1002
63	4997	1000
64	4998	1008
65	5247	751
66	4993	1262
67	4750	1007
68	5744	1002
69	4743	749
70	4761	754
71	4986	753
72	4750	1002
73	5248	498
74	4747	1004
75	5252	743
76	4991	747
77	4999	998
78	4990	751
79	5000	749
80	4994	501
81	4997	751
82	4996	1002
83	4998	1001
84	4995	1003
85	4997	1001
86	4996	1001
87	4997	753
88	4998	1001
89	4995	1002
90	4998	1003
91	4995	1002
92	4997	751
93	5005	997
94	4989	1016
95	4999	1001
96	5006	993
97	4989	998
98	4994	1001
99	5009	990
